City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,taroa,8.7058,171.2275,27.71,84,50,10.37,MH,1701994996
130,kaa-khem,51.6833,94.7333,-20.33,83,100,1.99,RU,1701994997
131,ancud,-41.8697,-73.8203,11.68,80,0,1.99,CL,1701994997
132,mokhsogollokh,61.4681,128.9203,-33.8,97,100,1.76,RU,1701994998
133,praia da vitoria,38.7333,-27.0667,19.31,94,75,9.91,PT,1701994999
134,qarazhal,48.0078,70.7903,-13.52,60,90,5.81,KZ,1701994999
135,papatowai,-46.5619,169.4708,15.69,57,95,3.84,NZ,1701995000
136,bamboo flat,11.7,92.7167,25.05,94,20,1.03,IN,1701994451
137,badger,64.8,-147.5333,-18.69,71,75,1.54,US,1701995001
138,vila franca do campo,37.7167,-25.4333,19.23,99,99,4.98,PT,1701995001
139,hadibu,12.65,54.0333,24.62,70,68,4.98,YE,1701994492
140,port saint john's,-31.6229,29.5448,20.46,73,39,2.26,ZA,1701994568
141,badiyah,22.45,58.8,18.09,56,0,1.38,OM,1701995003
142,ma'an,26.9775,110.7211,14.16,54,96,1.08,CN,1701995003
143,al ain city,24.1917,55.7606,17.79,77,0,2.06,AE,1701995004
144,tofol,5.3248,163.0078,31.88,70,75,3.09,FM,1701994441
145,uturoa,-16.7333,-151.4333,27.38,77,38,5.06,PF,1701994888
146,thompson,55.7435,-97.8558,-7.91,100,75,1.54,CA,1701994759
147,koson,39.0375,65.585,3.18,49,99,2.21,UZ,1701995006
148,toliara,-23.35,43.6667,24.31,66,55,2.56,MG,1701995006
149,baoro,5.6667,15.9667,21.85,89,96,0.78,CF,1701995006
150,hithadhoo,-0.6,73.0833,27.6,76,99,6.06,MV,1701995007
151,wailua homesteads,22.0669,-159.378,26.44,70,0,4.12,US,1701995007
152,ingeniero jacobacci,-41.3427,-69.5448,23.22,21,22,1.55,AR,1701995008
153,hawaiian paradise park,19.5933,-154.9731,26.73,74,40,5.66,US,1701995008
154,newman,37.3138,-121.0208,17.79,36,56,1.34,US,1701994528
155,freeport,40.6576,-73.5832,4.43,78,20,5.14,US,1701995009
156,hamilton,39.1834,-84.5333,10.35,64,0,3.6,US,1701994865
157,howrah,22.5892,88.3103,19.0,88,75,3.6,IN,1701994442
158,kurtamysh,54.9103,64.4319,-28.58,95,6,2.24,RU,1701995010
159,upata,8.0086,-62.3989,25.11,93,97,2.23,VE,1701995011
160,margaret river,-33.95,115.0667,16.76,58,32,5.39,AU,1701995011
161,santa ana de yacuma,-13.75,-65.4333,27.96,68,50,0.32,BO,1701995012
162,papao,-17.75,-149.55,24.82,81,100,9.79,PF,1701995012
163,kurlovo,55.4325,40.4854,-21.68,99,61,2.06,RU,1701995013
164,kangiwa,12.5521,3.8187,23.91,14,100,4.02,NG,1701995013
165,anapolis,-16.3267,-48.9528,26.78,44,0,2.57,BR,1701994818
166,karatuzskoye,53.6072,92.8667,-18.68,99,100,1.34,RU,1701994935
167,longyearbyen,78.2186,15.6401,-1.09,69,40,9.26,SJ,1701995014
168,qaqortoq,60.7167,-46.0333,2.32,61,100,6.53,GL,1701995015
169,laojunmiao,39.8333,97.7333,-2.48,34,24,1.9,CN,1701995016
170,dunda,-8.1167,34.25,19.28,90,13,1.12,TZ,1701995016
171,houghton,47.1219,-88.569,3.71,92,0,4.12,US,1701995017
172,sanctuary point,-35.1114,150.629,31.1,49,65,4.39,AU,1701995017
173,conduaga,8.862,117.4893,27.41,81,100,1.26,PH,1701995018
174,andergrove,-21.0833,149.1833,29.8,57,79,7.97,AU,1701994532
175,farasan,16.7022,42.1183,27.56,65,39,1.89,SA,1701995019
176,port douglas,-16.4833,145.4667,27.37,65,94,4.9,AU,1701994452
177,vilyuysk,63.7553,121.6247,-45.56,100,91,1.34,RU,1701994994
178,sake,-1.5736,29.045,16.5,94,34,0.52,CD,1701995020
179,woods creek,47.8787,-121.8985,6.45,84,100,0.89,US,1701995020
180,queenstown,-31.8976,26.8753,15.71,74,45,1.27,ZA,1701994914
181,luwingu,-10.2621,29.9271,17.34,95,55,1.43,ZM,1701995021
182,churapcha,62.0025,132.4325,-32.53,98,100,2.67,RU,1701995022
183,udachny,66.4167,112.4,-27.08,99,100,1.4,RU,1701995022
184,cobija,-11.0267,-68.7692,26.37,69,57,1.01,BO,1701995023
185,hasaki,35.7333,140.8333,12.94,38,0,2.15,JP,1701995023
186,la souterraine,46.2371,1.487,7.17,95,100,5.74,FR,1701995023
187,fomboni,-12.28,43.7425,27.77,75,96,2.26,KM,1701995024
188,stanley,54.868,-1.6985,4.6,96,100,4.12,GB,1701994861
189,balabac,7.9868,117.0645,27.63,83,100,3.07,PH,1701995025
190,beira,-19.8436,34.8389,26.05,89,20,2.57,MZ,1701995025
191,rosa zarate,0.3333,-79.4667,24.76,93,89,1.56,EC,1701995025
192,lihue,21.9789,-159.3672,26.77,70,0,4.12,US,1701995026
193,araucaria,-25.5931,-49.4103,21.29,96,100,1.31,BR,1701995026
194,harran,36.86,39.0314,12.39,93,100,1.69,TR,1701995027
195,kulhudhuffushi,6.6221,73.07,28.44,79,100,9.4,MV,1701995027
196,port augusta,-32.5,137.7667,40.17,13,46,14.64,AU,1701994605
197,san antonio de pale,-1.4014,5.6325,26.22,82,76,2.99,GQ,1701994557
198,ulladulla,-35.35,150.4667,30.43,45,68,3.34,AU,1701994567
199,chonchi,-42.6128,-73.8092,13.56,78,0,0.76,CL,1701995029
